City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Brawley,US,2021-09-17 20:08:30,32.9787,-115.5303,103.48,28,3,4.56
68,Provideniya,RU,2021-09-17 20:07:29,64.3833,-173.3,39.94,74,100,8.61
69,Changping,CN,2021-09-17 20:08:31,40.2186,116.2197,60.44,72,100,3.33
70,Albany,US,2021-09-17 20:03:10,42.6001,-73.9662,75.81,80,68,6.73
71,Klaksvik,FO,2021-09-17 20:06:12,62.2266,-6.589,52.72,94,100,17.47
72,Arraial Do Cabo,BR,2021-09-17 20:07:05,-22.9661,-42.0278,69.42,84,99,14.41
73,Tankara,IN,2021-09-17 20:08:31,22.6667,70.7333,78.19,90,99,11.77
74,Puerto Ayora,EC,2021-09-17 20:07:09,-0.7393,-90.3518,72.55,87,95,8.01
75,Shache,CN,2021-09-17 20:07:54,38.4167,77.2406,71.78,22,0,5.3
76,Diffa,NE,2021-09-17 20:08:31,13.3154,12.6113,88.45,38,97,7.02
77,Pocatello,US,2021-09-17 20:08:32,42.8713,-112.4455,78.67,17,0,5.99
78,Finnsnes,NO,2021-09-17 20:08:32,69.2296,17.9811,41.76,80,15,4.32
79,Grand-Santi,GF,2021-09-17 20:08:32,4.25,-54.3833,79.41,82,98,1.16
80,Portland,US,2021-09-17 20:08:33,45.5234,-122.6762,80.2,33,97,3.0
81,New Norfolk,AU,2021-09-17 20:07:36,-42.7826,147.0587,47.91,85,53,1.01
82,Lesnikovo,RU,2021-09-17 20:08:33,55.2822,65.3175,42.58,83,100,8.34
83,Tshikapa,CD,2021-09-17 20:08:33,-6.4167,20.8,74.73,76,89,2.86
84,Marawi,PH,2021-09-17 20:08:34,7.9986,124.2928,65.64,89,96,3.8
85,Hobbs,US,2021-09-17 20:08:34,32.7026,-103.136,97.07,17,0,1.99
86,Bredasdorp,ZA,2021-09-17 20:08:02,-34.5322,20.0403,55.27,76,0,13.42
87,Port Hardy,CA,2021-09-17 20:08:34,50.6996,-127.4199,50.18,100,90,16.11
88,Sao Filipe,CV,2021-09-17 20:08:34,14.8961,-24.4956,78.85,77,26,11.36
89,Cidreira,BR,2021-09-17 20:08:35,-30.1811,-50.2056,61.57,93,100,19.24
90,Mareeba,AU,2021-09-17 20:08:35,-17.0,145.4333,66.92,80,31,8.03
91,Arkhangelsk,RU,2021-09-17 20:08:35,64.5401,40.5433,41.11,87,40,4.47
92,Port Alfred,ZA,2021-09-17 20:07:10,-33.5906,26.891,58.39,56,80,3.8
93,Butaritari,KI,2021-09-17 20:07:08,3.0707,172.7902,81.34,75,63,10.76
94,Palafrugell,ES,2021-09-17 20:08:36,41.9174,3.1631,74.57,90,2,6.26
95,Bluff,NZ,2021-09-17 20:07:15,-46.6,168.3333,35.8,79,16,7.16
96,Eureka,US,2021-09-17 20:08:36,40.8021,-124.1637,79.66,65,96,5.01
97,Kapaa,US,2021-09-17 20:07:45,22.0752,-159.319,82.38,80,100,5.99
98,Hermanus,ZA,2021-09-17 20:07:03,-34.4187,19.2345,55.8,74,0,21.07
99,Bengkulu,ID,2021-09-17 20:08:36,-3.8004,102.2655,75.42,87,31,6.02
100,Sioux Lookout,CA,2021-09-17 20:08:37,50.1001,-91.917,54.52,52,85,14.23
101,Saint-Pierre,RE,2021-09-17 20:08:37,-21.3393,55.4781,69.48,73,0,6.91
102,Christchurch,NZ,2021-09-17 20:04:03,-43.5333,172.6333,39.33,100,8,1.14
103,Mar Del Plata,AR,2021-09-17 20:02:47,-38.0023,-57.5575,63.34,64,0,14.16
