City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Cape Town,ZA,-33.9258,18.4232,56.1,82,0,3.0,clear sky
80,Yerbogachen,RU,61.2767,108.0108,50.34,46,21,5.3,few clouds
81,Bengkulu,ID,-3.8004,102.2655,86.92,58,46,5.21,scattered clouds
82,Vidim,RU,56.4088,103.1106,60.48,45,54,7.87,broken clouds
83,Atuona,PF,-9.8,-139.0333,78.12,71,2,16.89,clear sky
84,New Norfolk,AU,-42.7826,147.0587,55.92,65,35,12.88,scattered clouds
85,Bluff,NZ,-46.6,168.3333,53.8,62,13,9.57,few clouds
86,Severo-Kurilsk,RU,50.6789,156.125,53.51,70,1,7.92,clear sky
87,Wanning,CN,18.8003,110.3967,87.19,62,70,6.71,broken clouds
88,Necochea,AR,-38.5473,-58.7368,56.03,78,77,12.03,broken clouds
89,Atar,MR,20.5169,-13.0499,85.28,45,99,6.49,overcast clouds
90,Zelenoborsk,RU,61.4669,64.0333,35.11,96,100,13.33,light rain
91,Pringsewu,ID,-5.3582,104.9744,88.16,58,33,6.35,scattered clouds
92,Faanui,PF,-16.4833,-151.75,78.53,75,19,19.53,few clouds
93,Araouane,ML,18.9048,-3.5265,93.2,26,97,11.7,overcast clouds
94,Sept-Iles,CA,50.2001,-66.3821,51.06,92,3,1.99,clear sky
95,San-Pedro,CI,4.7485,-6.6363,74.07,95,87,5.79,light rain
96,Surt,LY,31.2089,16.5887,74.07,64,0,9.84,clear sky
97,Vao,NC,-22.6667,167.4833,67.95,67,0,19.39,clear sky
98,Port Pirie,AU,-33.1833,138.0167,64.49,35,4,5.59,clear sky
99,Arraial Do Cabo,BR,-22.9661,-42.0278,70.2,94,97,14.36,overcast clouds
100,Hobyo,SO,5.3505,48.5268,78.71,80,93,20.71,overcast clouds
101,Iskateley,RU,67.6803,53.1512,39.97,78,98,17.43,overcast clouds
102,Jamestown,US,42.097,-79.2353,69.12,94,1,5.75,clear sky
103,Kushima,JP,31.4583,131.2333,87.39,59,1,8.21,clear sky
104,Clyde River,CA,70.4692,-68.5914,28.94,80,82,4.94,broken clouds
105,Buluang,PH,13.3068,123.3425,85.96,71,89,2.8,overcast clouds
106,Mahebourg,MU,-20.4081,57.7,75.25,81,18,7.9,few clouds
107,Isangel,VU,-19.55,169.2667,72.05,71,100,18.88,overcast clouds
108,Chokwe,MZ,-24.5333,32.9833,64.62,68,54,10.31,broken clouds
109,Narsaq,GL,60.9167,-46.05,39.42,80,99,2.75,overcast clouds
110,Elko,US,41.0002,-115.5012,72.64,18,0,21.0,clear sky
111,Toro,CO,4.6117,-76.0814,67.14,96,38,1.92,scattered clouds
112,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.27,95,27,3.47,scattered clouds
113,Saint-Philippe,RE,-21.3585,55.7679,73.22,70,25,0.49,scattered clouds
114,Aksu,CN,41.1231,80.2644,77.65,27,0,2.19,clear sky
115,Mandera,KE,3.9366,41.867,76.17,66,24,12.64,few clouds
116,Nikolskoye,RU,59.7035,30.7861,44.49,66,100,3.38,overcast clouds
117,Mattru,SL,7.6244,-11.8332,72.41,99,97,1.92,overcast clouds
118,Ordynskoye,RU,54.3656,81.8994,49.93,61,29,13.65,scattered clouds
119,Grand Gaube,MU,-20.0064,57.6608,75.38,81,14,5.01,light rain
120,Orotukan,RU,62.2667,151.7,52.48,59,97,23.71,overcast clouds
121,Biltine,TD,14.5333,20.9167,76.78,70,98,17.0,overcast clouds
122,Skibbereen,IE,51.55,-9.2667,51.6,89,0,3.11,clear sky
123,Cherskiy,RU,68.75,161.3,34.68,96,100,13.33,light rain
124,Bethel,US,41.3712,-73.414,69.57,91,22,1.01,few clouds
125,Koumac,NC,-20.5667,164.2833,73.74,54,0,15.75,clear sky
126,Pacific Grove,US,36.6177,-121.9166,60.91,84,90,3.0,overcast clouds
127,Tokur,RU,53.1333,132.9,35.8,86,100,12.88,overcast clouds
128,Majene,ID,-3.5403,118.9707,86.38,60,15,10.94,few clouds
129,Resistencia,AR,-27.4606,-58.9839,63.05,95,0,6.91,clear sky
130,Sasykoli,RU,47.5515,46.9968,57.16,46,87,5.5,overcast clouds
131,Pauini,BR,-7.7136,-66.9764,74.95,77,15,2.35,few clouds
132,Avera,US,33.194,-82.5271,75.7,64,100,4.38,overcast clouds
133,Stonewall,CA,50.1344,-97.3268,49.71,51,88,6.58,overcast clouds
134,Praia Da Vitoria,PT,38.7333,-27.0667,66.76,80,100,4.68,overcast clouds
135,Alice Springs,AU,-23.7,133.8833,63.95,55,90,12.66,overcast clouds
136,Carnarvon,AU,-24.8667,113.6333,69.87,52,0,20.71,clear sky
137,Luderitz,NA,-26.6481,15.1594,54.34,87,2,17.85,clear sky
138,Guerrero Negro,MX,27.9769,-114.0611,69.4,81,11,15.05,few clouds
139,Rincon,US,32.296,-81.2354,77.86,100,40,0.0,mist
140,Nikel,RU,69.4128,30.222,39.38,87,47,8.05,scattered clouds
141,Castro,BR,-24.7911,-50.0119,57.52,98,99,4.54,overcast clouds
142,Nanortalik,GL,60.1432,-45.2371,37.09,85,100,10.36,overcast clouds
143,Sao Felix Do Xingu,BR,-6.6447,-51.995,75.06,59,35,1.52,scattered clouds
144,Lavrentiya,RU,65.5833,-171.0,41.68,72,95,11.99,overcast clouds
145,Teya,RU,60.3778,92.6267,57.45,63,100,9.48,overcast clouds
146,Carmo Do Paranaiba,BR,-19.0008,-46.3161,66.63,46,3,6.85,clear sky
147,Gbadolite,CD,4.2833,21.0167,66.43,98,89,0.67,overcast clouds
148,Thompson,CA,55.7435,-97.8558,45.59,70,100,4.85,overcast clouds
149,Vanimo,PG,-2.6741,141.3028,86.27,64,73,8.79,broken clouds
150,Narkevychi,UA,49.5172,26.6418,56.32,93,100,17.56,overcast clouds
151,Sayyan,YE,15.1718,44.3244,65.01,35,100,3.65,overcast clouds
152,Fortuna,US,40.5982,-124.1573,58.66,69,1,4.61,clear sky
153,Ribeira Grande,PT,38.5167,-28.7,68.7,78,100,5.91,overcast clouds
154,Sitka,US,57.0531,-135.33,49.89,81,75,4.61,broken clouds
155,Le Port,RE,-20.9373,55.2919,73.62,74,28,8.41,scattered clouds
156,Dikson,RU,73.5069,80.5464,34.05,76,18,23.58,few clouds
157,Dauriya,RU,49.9333,116.8667,52.41,40,99,11.77,overcast clouds
158,Lebu,CL,-37.6167,-73.65,49.08,83,100,9.62,overcast clouds
159,Victoria,HK,22.2855,114.1577,93.25,73,93,1.99,overcast clouds
160,Salalah,OM,17.0151,54.0924,82.49,83,75,2.3,broken clouds
161,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,63.19,39,0,8.95,clear sky
162,Westport,US,41.1415,-73.3579,71.8,94,20,4.0,few clouds
163,Canico,PT,32.6333,-16.85,74.01,90,75,1.99,broken clouds
164,Komsomolskiy,UZ,40.4272,71.7189,79.52,18,0,0.0,clear sky
165,Atambua,ID,-9.1061,124.8925,87.93,35,60,5.37,broken clouds
166,Hualmay,PE,-11.0964,-77.6139,60.62,84,56,7.99,broken clouds
167,Deputatskiy,RU,69.3,139.9,29.41,96,100,6.29,light snow
168,Bredasdorp,ZA,-34.5322,20.0403,52.29,81,0,15.7,clear sky
169,Zhangye,CN,38.9342,100.4517,75.96,21,34,9.95,scattered clouds
170,Erzin,TR,36.9559,36.2,69.01,63,0,1.83,clear sky
171,Ixtapa,MX,20.7,-105.2,77.23,100,100,2.98,overcast clouds
172,Kulunda,RU,52.566,78.9385,51.96,45,2,12.97,clear sky
173,Sao Filipe,CV,14.8961,-24.4956,77.9,79,51,7.61,broken clouds
174,Sulecin,PL,52.4443,15.1168,54.75,86,83,7.38,broken clouds
175,Goderich,CA,43.7501,-81.7165,70.92,87,12,15.01,few clouds
176,Verkhnevilyuysk,RU,63.4453,120.3167,41.74,57,100,9.89,overcast clouds
177,Abaetetuba,BR,-1.7181,-48.8825,75.24,95,15,4.81,few clouds
178,Nelson Bay,AU,-32.7167,152.15,81.75,53,89,5.08,overcast clouds
179,Iqaluit,CA,63.7506,-68.5145,33.91,75,94,14.16,overcast clouds
180,Dover,US,39.1582,-75.5244,71.96,98,75,8.05,broken clouds
181,El Tigre,VE,8.8875,-64.2454,75.06,78,42,10.42,scattered clouds
182,Homer,US,59.6425,-151.5483,53.49,76,40,0.0,scattered clouds
183,Yar-Sale,RU,66.8333,70.8333,33.51,97,100,26.57,light snow
184,Lao Cai,VN,22.4833,103.95,86.72,73,99,2.57,overcast clouds
185,Camana,PE,-16.6228,-72.7111,60.76,84,97,7.63,overcast clouds
186,Gander,CA,48.9682,-54.5906,50.09,87,86,8.55,overcast clouds
187,Nakonde,ZM,-9.3421,32.745,58.86,70,0,3.44,clear sky
188,Tasiilaq,GL,65.6145,-37.6368,33.96,59,100,3.71,overcast clouds
189,Meadow Lake,US,34.8014,-106.5436,76.71,34,0,14.76,clear sky
190,Fukue,JP,32.6881,128.8419,75.79,74,70,17.47,broken clouds
191,Fort Nelson,CA,58.8053,-122.7002,46.76,67,100,0.47,overcast clouds
192,Zhob,PK,31.3411,69.4481,80.31,38,0,1.63,clear sky
193,Karratha,AU,-20.7377,116.8463,85.21,22,0,19.73,clear sky
194,Manoel Urbano,BR,-8.8389,-69.2597,74.21,80,21,2.35,few clouds
195,Wattegama,LK,6.7989,81.4808,86.92,57,100,5.86,overcast clouds
196,Pangnirtung,CA,66.1451,-65.7125,32.79,85,100,1.23,overcast clouds
197,Barbosa Ferraz,BR,-24.03,-52.0117,68.22,80,82,4.03,broken clouds
198,Port Hawkesbury,CA,45.6169,-61.3485,64.78,98,90,1.99,mist
199,Nouadhibou,MR,20.931,-17.0347,74.16,78,98,8.25,overcast clouds
200,Campo Maior,BR,-4.8278,-42.1686,77.94,69,64,4.76,broken clouds
201,Aklavik,CA,68.2191,-135.0107,41.56,87,100,10.02,overcast clouds
202,Dingle,PH,10.9995,122.6711,85.41,71,100,4.59,overcast clouds
203,Nzerekore,GN,7.7562,-8.8179,69.82,99,100,3.02,overcast clouds
204,De-Kastri,RU,51.4667,140.7833,52.92,87,96,7.61,overcast clouds
205,Tilichiki,RU,60.4667,166.1,54.27,59,92,6.69,overcast clouds
206,Bodden Town,KY,19.2833,-81.25,83.93,90,8,1.99,clear sky
207,Omsukchan,RU,62.5333,155.8,46.92,72,84,10.89,broken clouds
208,San Vicente,AR,-26.6167,-54.1333,62.62,99,80,2.75,light rain
209,Shuangyang,CN,43.5242,125.6736,72.88,52,0,3.87,clear sky
210,Lazaro Cardenas,MX,17.9583,-102.2,78.04,88,64,3.44,broken clouds
211,Brainerd,US,46.358,-94.2008,48.09,93,1,0.0,clear sky
212,Esperance,AU,-33.8667,121.9,64.85,51,43,16.96,scattered clouds
213,Bardiyah,LY,31.7561,25.0865,75.18,78,0,11.68,clear sky
214,San Antonio,US,29.4241,-98.4936,86.45,58,1,10.36,clear sky
215,Thinadhoo,MV,0.5333,72.9333,82.63,71,78,2.89,broken clouds
216,Gibsons,CA,49.3997,-123.5027,59.09,97,100,9.06,moderate rain
217,Kaitangata,NZ,-46.2817,169.8464,50.67,60,5,9.93,clear sky
218,Rockland,US,41.1668,-74.0496,71.46,90,31,3.62,scattered clouds
219,Ponta Do Sol,PT,32.6667,-17.1,74.01,81,56,2.21,broken clouds
220,Jaslo,PL,49.7451,21.4725,56.89,95,100,11.1,light rain
221,Pevek,RU,69.7008,170.3133,30.9,83,100,11.32,overcast clouds
222,Promyshlennovskiy,RU,55.4833,86.2,52.57,71,100,10.07,overcast clouds
223,Solnechnyy,RU,50.7214,136.6319,58.51,32,26,12.28,scattered clouds
224,Bacolod,PH,10.6667,122.95,84.02,74,95,3.56,overcast clouds
225,Adrar,MR,20.5022,-10.0711,86.49,36,93,5.37,overcast clouds
226,Batemans Bay,AU,-35.7167,150.1833,73.9,42,3,12.15,clear sky
227,Ola,RU,59.5833,151.2833,51.51,84,91,12.01,overcast clouds
228,Manuk Mangkaw,PH,4.8,119.85,83.12,70,100,6.11,overcast clouds
229,Zyryanka,RU,65.75,150.85,58.05,47,0,7.07,clear sky
230,Villa Carlos Paz,AR,-31.4241,-64.4978,62.38,45,0,3.76,clear sky
231,Marakkanam,IN,12.2,79.95,80.94,65,100,9.75,overcast clouds
232,Sankt Georgen,HU,47.1425,16.5815,50.79,78,22,3.98,few clouds
233,Colesberg,ZA,-30.72,25.0972,36.41,69,0,8.72,clear sky
234,Asau,RO,46.4333,26.4,60.96,90,100,3.22,overcast clouds
235,Saskylakh,RU,71.9167,114.0833,35.56,67,91,10.45,overcast clouds
236,Saint Anthony,US,45.0205,-93.218,57.78,79,1,0.0,clear sky
237,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,37,0,21.85,clear sky
238,Deniliquin,AU,-35.5333,144.9667,61.0,29,10,17.43,clear sky
239,Tungor,RU,53.3808,142.9564,57.25,66,97,6.98,overcast clouds
240,Port Lincoln,AU,-34.7333,135.8667,60.1,51,65,20.02,broken clouds
241,Hilo,US,19.7297,-155.09,79.29,76,20,6.91,few clouds
242,Tezu,IN,27.9167,96.1667,73.6,99,100,1.5,overcast clouds
243,Melita,CA,49.2681,-100.9967,58.19,23,100,14.12,overcast clouds
244,Oshkosh,US,44.0247,-88.5426,60.49,78,1,1.99,clear sky
245,Mpraeso,GH,6.5932,-0.7346,68.52,99,97,2.84,overcast clouds
246,Xapuri,BR,-10.6517,-68.5044,81.14,57,89,2.35,overcast clouds
247,Oranjemund,NA,-28.55,16.4333,54.77,87,0,9.17,clear sky
248,Batagay-Alyta,RU,67.8006,130.4114,34.18,82,100,14.94,overcast clouds
249,Ravar,IR,31.2656,56.8055,84.11,6,0,0.22,clear sky
250,Odemira,PT,37.598,-8.6397,62.17,86,26,8.08,scattered clouds
251,Cairns,AU,-16.9167,145.7667,82.35,47,75,17.27,broken clouds
252,Baiyin,CN,36.5583,104.2081,60.44,59,100,16.08,light rain
253,Havelock,US,34.8791,-76.9013,75.2,96,40,6.91,scattered clouds
254,Tacoronte,ES,28.4769,-16.4102,67.26,86,90,8.01,overcast clouds
255,Walvis Bay,NA,-22.9575,14.5053,57.09,92,0,4.29,clear sky
256,Nizhneudinsk,RU,54.9076,99.0276,63.46,54,72,5.66,broken clouds
257,Lakes Entrance,AU,-37.8811,147.981,68.16,42,36,16.17,scattered clouds
258,Lyubim,RU,58.3625,40.6843,39.34,84,90,7.54,overcast clouds
259,Aguimes,ES,27.9054,-15.4461,72.23,75,40,16.11,scattered clouds
260,Springbok,ZA,-29.6643,17.8865,55.24,19,0,15.55,clear sky
261,Srednekolymsk,RU,67.45,153.6833,53.01,54,13,13.65,few clouds
262,Puerto Escondido,MX,15.85,-97.0667,80.11,86,100,4.83,overcast clouds
263,Las Matas De Farfan,DO,18.8731,-71.5166,72.73,88,52,1.5,broken clouds
264,Dembi Dolo,ET,8.5333,34.8,56.61,96,96,1.88,light rain
265,Urumqi,CN,43.801,87.6005,79.75,17,0,15.66,clear sky
266,Zhigalovo,RU,54.8097,105.1578,61.43,39,6,4.18,clear sky
267,Baruun-Urt,MN,46.6806,113.2792,65.64,41,93,7.4,overcast clouds
268,Nhulunbuy,AU,-12.2333,136.7667,83.01,51,75,18.41,broken clouds
269,Batagay,RU,67.6333,134.6333,35.15,96,100,5.5,light rain
270,Portland,US,45.5234,-122.6762,73.62,68,75,7.0,broken clouds
271,Kruisfontein,ZA,-34.0033,24.7314,43.88,87,2,5.41,clear sky
272,Tongren,CN,27.7172,109.1853,82.13,78,88,3.71,overcast clouds
273,Husavik,IS,66.0449,-17.3389,42.15,90,100,2.15,overcast clouds
274,Mar Del Plata,AR,-38.0023,-57.5575,51.82,87,0,13.8,clear sky
275,Teknaf,BD,20.8624,92.3058,78.17,93,100,6.96,overcast clouds
276,Bentiu,SS,9.2333,29.8333,70.3,98,100,5.48,light rain
277,Andenes,NO,69.3143,16.1194,46.38,81,86,10.36,overcast clouds
278,Nyurba,RU,63.2842,118.3319,44.38,46,99,10.07,overcast clouds
279,Harper,LR,4.375,-7.7169,76.01,88,100,7.2,light rain
280,Touros,BR,-5.1989,-35.4608,76.1,79,91,15.41,overcast clouds
281,Conde,BR,-7.2597,-34.9075,74.66,83,20,8.05,few clouds
282,Tolga,DZ,34.7222,5.3785,80.04,21,49,5.1,scattered clouds
283,Kleinmachnow,DE,52.4,13.2333,56.16,85,75,1.01,broken clouds
284,Madison,US,34.7334,-86.5667,75.45,89,90,1.01,overcast clouds
285,Quatre Cocos,MU,-20.2078,57.7625,75.09,83,15,9.89,light rain
286,Beidao,CN,34.5686,105.8933,58.35,93,100,8.97,light rain
287,Matagami,CA,49.7502,-77.6328,56.08,89,100,10.65,overcast clouds
288,Riverton,US,40.5219,-111.9391,72.55,24,1,1.99,clear sky
289,Qaqortoq,GL,60.7167,-46.0333,39.7,82,100,4.68,overcast clouds
290,Karacabey,TR,40.2152,28.4038,70.32,37,92,2.59,overcast clouds
291,Lebanon,US,36.2081,-86.2911,74.59,78,1,0.0,mist
292,Muros,ES,42.7762,-9.0603,59.99,84,3,5.1,clear sky
293,Derzhavinsk,KZ,51.1,66.3167,48.02,59,42,9.73,scattered clouds
294,Russell,US,32.3502,-85.1999,76.71,93,100,0.83,overcast clouds
295,Bereda,ES,43.2686,-7.5406,53.42,92,73,1.21,broken clouds
296,North Bend,US,43.4065,-124.2243,68.92,80,90,14.97,overcast clouds
297,Qianan,CN,44.9932,124.0581,71.29,53,28,12.44,scattered clouds
298,Banepa,NP,27.6298,85.5214,71.92,83,40,2.3,scattered clouds
299,Kenai,US,60.5544,-151.2583,53.69,85,90,3.44,overcast clouds
300,Tuburan,PH,6.6439,122.2736,83.12,69,66,2.93,broken clouds
301,Rocha,UY,-34.4833,-54.3333,50.58,97,2,5.41,clear sky
302,Labytnangi,RU,66.6572,66.4183,35.8,84,100,31.59,light rain
303,Carutapera,BR,-1.195,-46.02,76.75,87,0,6.69,clear sky
304,Jumla,NP,29.2747,82.1838,71.38,66,2,4.36,clear sky
305,Singkang,MY,2.1006,102.7994,89.92,52,43,3.76,scattered clouds
306,Adeje,ES,28.1227,-16.726,71.02,72,20,1.99,few clouds
307,Nouakchott,MR,18.0858,-15.9785,79.95,77,99,7.2,overcast clouds
308,Ilulissat,GL,69.2167,-51.1,19.42,58,0,2.3,clear sky
309,Sabzevar,IR,36.2126,57.6819,77.74,28,0,7.85,clear sky
310,Nyagan,RU,62.1406,65.3936,34.47,97,100,12.15,light rain
